"","Suburb","Rooms","Type","Address","Method","SellerG","Date","Distance","Postcode","Landsize","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Price"
"16","Abbotsford","2","h","2 Rich St","SP","Biggin",2016-12-10,2.5,"3067",176,"Yarra City Council",-37.7998,144.9972,"Northern Metropolitan",4019,1207250
"17","Abbotsford","2","u","411/8 Grosvenor St","VB","Jellis",2016-11-12,2.5,"3067",0,"Yarra City Council",-37.811,145.0067,"Northern Metropolitan",4019,7e+05
"18","Abbotsford","3","h","40 Nicholson St","VB","Nelson",2016-11-12,2.5,"3067",214,"Yarra City Council",-37.8085,144.9964,"Northern Metropolitan",4019,1350000
"19","Abbotsford","2","u","123/56 Nicholson St","S","Biggin",2016-11-12,2.5,"3067",0,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,750000
"20","Abbotsford","2","h","45 William St","S","Biggin",2016-08-13,2.5,"3067",195,"Yarra City Council",-37.8084,144.9973,"Northern Metropolitan",4019,1172500
"21","Abbotsford","1","u","7/20 Abbotsford St","SP","Greg",2016-05-14,2.5,"3067",0,"Yarra City Council",-37.8016,144.9988,"Northern Metropolitan",4019,441000
"22","Abbotsford","2","h","16 William St","S","Jellis",2016-10-15,2.5,"3067",238,"Yarra City Council",-37.809,144.9976,"Northern Metropolitan",4019,1310000
"23","Abbotsford","3","u","16/11 Nicholson St","PI","Philip",2016-04-16,2.5,"3067",0,"Yarra City Council",-37.8093,144.9959,"Northern Metropolitan",4019,1090000
"24","Abbotsford","3","h","42 Henry St","S","Jellis",2016-07-16,2.5,"3067",113,"Yarra City Council",-37.8056,144.993,"Northern Metropolitan",4019,1200000
"25","Abbotsford","3","h","78 Yarra St","S","LITTLE",2016-07-16,2.5,"3067",138,"Yarra City Council",-37.8021,144.9965,"Northern Metropolitan",4019,1176500
"26","Abbotsford","3","h","196 Nicholson St","S","Collins",2016-09-17,2.5,"3067",183,"Yarra City Council",-37.8022,144.9975,"Northern Metropolitan",4019,955000
"27","Abbotsford","2","h","42 Valiant St","S","Biggin",2016-09-17,2.5,"3067",150,"Yarra City Council",-37.8011,145.0004,"Northern Metropolitan",4019,890000
"28","Abbotsford","4","h","3/72 Charles St","PI","Kay",2017-03-18,2.5,"3067",780,"Yarra City Council",-37.8073,144.9952,"Northern Metropolitan",4019,1330000
"29","Abbotsford","3","h","1/1 Mayfield St","SP","Nelson",2017-03-18,2.5,"3067",119,"Yarra City Council",-37.8082,144.9999,"Northern Metropolitan",4019,1197500
"30","Abbotsford","3","t","13/11 Nicholson St","S","Beller",2017-03-18,2.5,"3067",0,"Yarra City Council",-37.8093,144.9959,"Northern Metropolitan",4019,9e+05
"31","Abbotsford","2","u","6/219 Nicholson St","S","Collins",2016-06-18,2.5,"3067",0,"Yarra City Council",-37.8015,144.9972,"Northern Metropolitan",4019,5e+05
"32","Abbotsford","2","h","52a William St","PI","Biggin",2016-06-18,2.5,"3067",124,"Yarra City Council",-37.8079,144.9977,"Northern Metropolitan",4019,1100000
"33","Abbotsford","2","h","49 Park St","S","Marshall",2016-11-19,2.5,"3067",147,"Yarra City Council",-37.808,144.994,"Northern Metropolitan",4019,1315000
"34","Abbotsford","1","u","5/20 Abbotsford St","SP","Greg",2016-08-22,2.5,"3067",0,"Yarra City Council",-37.8016,144.9988,"Northern Metropolitan",4019,426000
"35","Abbotsford","3","h","48 Abbotsford St","PI","Nelson",2016-08-22,2.5,"3067",166,"Yarra City Council",-37.8017,145.0001,"Northern Metropolitan",4019,1447500
"36","Abbotsford","1","u","116/56 Nicholson St","S","Jellis",2016-08-22,2.5,"3067",0,"Yarra City Council",-37.8078,144.9965,"Northern Metropolitan",4019,457000
"37","Abbotsford","2","h","159 Park St","S","Nelson",2016-08-22,2.5,"3067",98,"Yarra City Council",-37.8005,144.9952,"Northern Metropolitan",4019,1135000
"38","Abbotsford","4","h","31 Turner St","S","Collins",2016-09-24,2.5,"3067",0,"Yarra City Council",-37.7994,144.9965,"Northern Metropolitan",4019,1542000
"39","Abbotsford","3","h","166 Gipps St","S","Biggin",2017-02-25,2.5,"3067",147,"Yarra City Council",-37.805,144.9943,"Northern Metropolitan",4019,1290000
"40","Abbotsford","3","h","60 Stafford St","S","Biggin",2017-02-25,2.5,"3067",168,"Yarra City Council",-37.8007,144.9958,"Northern Metropolitan",4019,1290000
"41","Abbotsford","1","u","11/205 Gipps St","S","Nelson",2016-07-26,2.5,"3067",0,"Yarra City Council",-37.8055,144.9961,"Northern Metropolitan",4019,470000
"42","Abbotsford","2","h","47 Studley St","S","Jellis",2016-11-27,2.5,"3067",162,"Yarra City Council",-37.8016,144.9956,"Northern Metropolitan",4019,1180000
"43","Abbotsford","3","h","45 Yarra St","SP","Jellis",2016-11-27,2.5,"3067",120,"Yarra City Council",-37.8022,144.9954,"Northern Metropolitan",4019,1195000
"44","Abbotsford","2","h","200 Nicholson St","S","Nelson",2016-05-28,2.5,"3067",182,"Yarra City Council",-37.8021,144.9976,"Northern Metropolitan",4019,1012500
"45","Abbotsford","2","h","27 Charles St","S","Biggin",2016-07-30,2.5,"3067",172,"Yarra City Council",-37.8086,144.9946,"Northern Metropolitan",4019,1030000
"46","Airport West","3","t","154 Halsey Rd","PI","Nelson",2016-09-03,13.5,"3042",303,"Moonee Valley City Council",-37.718,144.878,"Western Metropolitan",3464,840000
"47","Airport West","3","h","50 Bedford St","VB","Nelson",2016-12-03,13.5,"3042",0,"Moonee Valley City Council",-37.7203,144.8755,"Western Metropolitan",3464,730000
"48","Airport West","3","h","50 Bedford St","SP","Nelson",2017-03-04,13.5,"3042",0,"Moonee Valley City Council",-37.7203,144.8755,"Western Metropolitan",3464,770000
"49","Airport West","3","h","5 Harrington Rd","S","Brad",2017-03-04,13.5,"3042",580,"Moonee Valley City Council",-37.7235,144.8736,"Western Metropolitan",3464,805000
"50","Airport West","2","h","23 Hart St","S","Nelson",2017-03-04,13.5,"3042",272,"Moonee Valley City Council",-37.7294,144.888,"Western Metropolitan",3464,603000
"51","Airport West","3","t","1/80 Hawker St","S","Brad",2017-03-04,13.5,"3042",239,"Moonee Valley City Council",-37.7218,144.8837,"Western Metropolitan",3464,7e+05
"52","Airport West","3","h","1/37 Hillside Gr","S","Maddison",2017-03-04,13.5,"3042",290,"Moonee Valley City Council",-37.7273,144.8744,"Western Metropolitan",3464,6e+05
"53","Airport West","2","u","2/49 McIntosh St","VB","Barry",2017-03-04,13.5,"3042",168,"Moonee Valley City Council",-37.7215,144.8864,"Western Metropolitan",3464,5e+05
"54","Airport West","3","h","54 Marshall Rd","S","Barry",2016-08-06,13.5,"3042",620,"Moonee Valley City Council",-37.7173,144.8872,"Western Metropolitan",3464,720000
"55","Airport West","4","h","36 Roberts Rd","S","Considine",2016-08-06,13.5,"3042",597,"Moonee Valley City Council",-37.7259,144.8792,"Western Metropolitan",3464,785000
"56","Airport West","6","h","11 Harrington Rd","SP","Barry",2016-05-07,13.5,"3042",976,"Moonee Valley City Council",-37.7239,144.8735,"Western Metropolitan",3464,725000
"57","Airport West","2","t","2/252 Parer Rd","S","Barry",2016-05-07,13.5,"3042",110,"Moonee Valley City Council",-37.7216,144.871,"Western Metropolitan",3464,450000
"58","Airport West","2","u","3/19 Hart St","S","Barry",2016-11-07,13.5,"3042",141,"Moonee Valley City Council",-37.7298,144.8883,"Western Metropolitan",3464,515000
"59","Airport West","2","u","2/62 Clydesdale Rd","S","Nelson",2016-09-10,13.5,"3042",120,"Moonee Valley City Council",-37.7234,144.8792,"Western Metropolitan",3464,530000
"60","Airport West","3","h","3 Deidre Ct","PI","Rendina",2016-09-10,13.5,"3042",1063,"Moonee Valley City Council",-37.7249,144.8728,"Western Metropolitan",3464,895000
"61","Airport West","3","h","13 Etzel St","S","Nelson",2016-12-10,13.5,"3042",0,"Moonee Valley City Council",-37.7217,144.8783,"Western Metropolitan",3464,805000
"62","Airport West","2","u","145a Victory Rd","S","Barry",2016-08-13,13.5,"3042",192,"Moonee Valley City Council",-37.7177,144.8787,"Western Metropolitan",3464,440000
"63","Airport West","5","h","241 Parer Rd","PI","Propertyau",2016-05-14,13.5,"3042",596,"Moonee Valley City Council",-37.7248,144.8699,"Western Metropolitan",3464,755000
"64","Airport West","3","t","2/40 Earl St","PI","Brad",2016-10-15,13.5,"3042",165,"Moonee Valley City Council",-37.727,144.887,"Western Metropolitan",3464,7e+05
"65","Airport West","3","h","180 Parer Rd","S","Barry",2016-04-16,13.5,"3042",971,"Moonee Valley City Council",-37.7186,144.876,"Western Metropolitan",3464,830000
"66","Airport West","2","u","4/54 Hawker St","S","Barry",2016-07-16,13.5,"3042",164,"Moonee Valley City Council",-37.7218,144.8863,"Western Metropolitan",3464,462500
"67","Airport West","3","h","43 Hillside Gr","SP","Barry",2016-07-16,13.5,"3042",657,"Moonee Valley City Council",-37.7269,144.8742,"Western Metropolitan",3464,670000
"68","Airport West","2","h","174 Parer Rd","S","Barry",2016-07-16,13.5,"3042",612,"Moonee Valley City Council",-37.7187,144.8765,"Western Metropolitan",3464,675000
"69","Airport West","3","h","138 Victory Rd","S","Nelson",2016-07-16,13.5,"3042",612,"Moonee Valley City Council",-37.7173,144.8796,"Western Metropolitan",3464,1042000
"70","Airport West","3","h","75 King St","S","McDonald",2016-09-17,13.5,"3042",775,"Moonee Valley City Council",-37.7231,144.8835,"Western Metropolitan",3464,910000
"71","Airport West","4","h","6 Kittyhawk St","S","Brad",2016-09-17,13.5,"3042",531,"Moonee Valley City Council",-37.7263,144.8679,"Western Metropolitan",3464,773000
"72","Airport West","3","h","478 Fullarton Rd","PI","Barry",2017-03-18,13.5,"3042",555,"Moonee Valley City Council",-37.7285,144.8694,"Western Metropolitan",3464,810000
"73","Airport West","3","h","144 Marshall Rd","S","Rendina",2017-03-18,13.5,"3042",422,"Moonee Valley City Council",-37.7164,144.8792,"Western Metropolitan",3464,715000
"74","Airport West","3","h","106 Parer Rd","S","Nelson",2017-03-18,13.5,"3042",614,"Moonee Valley City Council",-37.7194,144.8827,"Western Metropolitan",3464,790000
"75","Airport West","3","t","3/7 South Rd","SP","Nelson",2016-06-18,13.5,"3042",161,"Moonee Valley City Council",-37.7231,144.8802,"Western Metropolitan",3464,540000
"76","Airport West","3","t","37 North St","SP","Barry",2016-11-19,13.5,"3042",293,"Moonee Valley City Council",-37.72,144.8776,"Western Metropolitan",3464,825000
"77","Airport West","3","h","10 Hilbert Rd","S","Barry",2016-05-22,13.5,"3042",579,"Moonee Valley City Council",-37.7226,144.8733,"Western Metropolitan",3464,685000
"78","Airport West","3","h","110 Halsey Rd","S","Barry",2016-08-22,13.5,"3042",623,"Moonee Valley City Council",-37.7184,144.882,"Western Metropolitan",3464,805000
"79","Airport West","2","u","2/13 North St","S","Nelson",2016-08-22,13.5,"3042",141,"Moonee Valley City Council",-37.7202,144.8797,"Western Metropolitan",3464,510000
"80","Airport West","3","h","105a Victory Rd","S","Nelson",2016-08-22,13.5,"3042",212,"Moonee Valley City Council",-37.7181,144.8824,"Western Metropolitan",3464,612000
"81","Airport West","3","h","117 Marshall Rd","S","Brad",2016-04-23,13.5,"3042",612,"Moonee Valley City Council",-37.7169,144.8815,"Western Metropolitan",3464,662000
"82","Airport West","4","h","34 Moorna Dr","S","Nelson",2016-09-24,13.5,"3042",532,"Moonee Valley City Council",-37.7263,144.869,"Western Metropolitan",3464,978000
"83","Airport West","3","h","33 North St","PI","Nelson",2017-02-25,13.5,"3042",585,"Moonee Valley City Council",-37.72,144.878,"Western Metropolitan",3464,720000
"84","Airport West","4","h","49 Roberts Rd","S","Prof.",2016-11-27,13.5,"3042",509,"Moonee Valley City Council",-37.7261,144.8785,"Western Metropolitan",3464,765000
"85","Airport West","4","h","85 Roberts Rd","S","Harcourts",2016-11-27,13.5,"3042",628,"Moonee Valley City Council",-37.7256,144.8739,"Western Metropolitan",3464,9e+05
"86","Albert Park","2","h","105 Kerferd Rd","S","hockingstuart",2016-09-03,3.3,"3206",120,"Port Phillip City Council",-37.8459,144.9555,"Southern Metropolitan",3280,1275000
"87","Albert Park","2","h","85 Richardson St","S","Thomson",2016-09-03,3.3,"3206",159,"Port Phillip City Council",-37.845,144.9538,"Southern Metropolitan",3280,1455000
"88","Albert Park","3","h","112 Beaconsfield Pde","PI","Buxton",2017-03-04,3.3,"3206",211,"Port Phillip City Council",-37.8481,144.9499,"Southern Metropolitan",3280,2850000
"89","Albert Park","3","h","94 Graham St","S","Greg",2017-03-04,3.3,"3206",128,"Port Phillip City Council",-37.8452,144.9488,"Southern Metropolitan",3280,1850000
"90","Albert Park","2","h","14 Merton St","SP","Marshall",2017-03-04,3.3,"3206",215,"Port Phillip City Council",-37.8405,144.953,"Southern Metropolitan",3280,1330000
"91","Albert Park","2","h","396 Montague St","S","RT",2017-03-04,3.3,"3206",130,"Port Phillip City Council",-37.8431,144.9565,"Southern Metropolitan",3280,1436000
"92","Albert Park","3","h","9 Boyd St","SN","Greg",2016-08-06,3.3,"3206",336,"Port Phillip City Council",-37.8471,144.9561,"Southern Metropolitan",3280,2340000
"93","Albert Park","2","h","75 Graham St","S","Marshall",2016-08-06,3.3,"3206",147,"Port Phillip City Council",-37.8444,144.9484,"Southern Metropolitan",3280,1110000
"94","Albert Park","2","h","54 Brooke St","S","Sotheby's",2016-05-07,3.3,"3206",167,"Port Phillip City Council",-37.8405,144.9521,"Southern Metropolitan",3280,1550000
"95","Albert Park","4","h","104 Richardson St","S","Marshall",2016-05-07,3.3,"3206",153,"Port Phillip City Council",-37.8447,144.9523,"Southern Metropolitan",3280,2300000
"96","Albert Park","3","h","81 Richardson St","S","Marshall",2016-05-07,3.3,"3206",316,"Port Phillip City Council",-37.8449,144.9536,"Southern Metropolitan",3280,2120000
"97","Albert Park","3","t","4a Mills St","VB","Marshall",2016-11-07,3.3,"3206",718,"Port Phillip City Council",-37.8443,144.9598,"Southern Metropolitan",3280,1550000
"98","Albert Park","3","h","1 Moubray St","VB","Greg",2016-11-07,3.3,"3206",132,"Port Phillip City Council",-37.8415,144.952,"Southern Metropolitan",3280,1800000
"99","Albert Park","2","h","29 Faussett St","S","Greg",2016-09-10,3.3,"3206",199,"Port Phillip City Council",-37.8422,144.9554,"Southern Metropolitan",3280,2120000
"100","Albert Park","3","h","3 Herbert St","VB","Cayzer",2016-09-10,3.3,"3206",253,"Port Phillip City Council",-37.8443,144.9579,"Southern Metropolitan",3280,1800000
"101","Albert Park","3","h","24 Kerferd Pl","S","Marshall",2016-09-10,3.3,"3206",90,"Port Phillip City Council",-37.8421,144.9571,"Southern Metropolitan",3280,1800000
"102","Albert Park","3","h","5 Withers St","SN","Marshall",2016-09-10,3.3,"3206",126,"Port Phillip City Council",-37.8427,144.9515,"Southern Metropolitan",3280,1600000
"103","Albert Park","2","h","44 Draper St","PI","Greg",2016-12-10,3.3,"3206",240,"Port Phillip City Council",-37.8379,144.9539,"Southern Metropolitan",3280,1810000
"104","Albert Park","3","h","2 Dundas Pl","S","Cayzer",2016-12-10,3.3,"3206",177,"Port Phillip City Council",-37.8415,144.9585,"Southern Metropolitan",3280,2615000
"105","Albert Park","5","h","23 Finlay St","S","Greg",2016-12-10,3.3,"3206",237,"Port Phillip City Council",-37.8436,144.9557,"Southern Metropolitan",3280,2100000
"106","Albert Park","3","h","31 Richardson St","S","hockingstuart",2016-12-10,3.3,"3206",129,"Port Phillip City Council",-37.8422,144.949,"Southern Metropolitan",3280,1300000
"107","Albert Park","3","h","4a Gatehouse La","S","Greg",2016-06-12,3.3,"3206",0,"Port Phillip City Council",-37.8451,144.9511,"Southern Metropolitan",3280,1370000
"108","Albert Park","2","h","60 Brooke St","S","Cayzer",2016-11-12,3.3,"3206",288,"Port Phillip City Council",-37.8407,144.9523,"Southern Metropolitan",3280,1e+06
"109","Albert Park","2","h","140 Danks St","SP","Marshall",2016-08-13,3.3,"3206",366,"Port Phillip City Council",-37.847,144.9506,"Southern Metropolitan",3280,2015000
"110","Albert Park","3","h","70 Barrett St","S","Greg",2016-10-15,3.3,"3206",228,"Port Phillip City Council",-37.8445,144.9501,"Southern Metropolitan",3280,2575000
"111","Albert Park","2","h","65 Graham St","S","Greg",2016-10-15,3.3,"3206",149,"Port Phillip City Council",-37.8443,144.9481,"Southern Metropolitan",3280,1322500
"112","Albert Park","2","h","1 Herbert Pl","S","hockingstuart",2016-10-15,3.3,"3206",152,"Port Phillip City Council",-37.8437,144.959,"Southern Metropolitan",3280,2015000
"113","Albert Park","2","h","364 Montague St","S","Greg",2016-10-15,3.3,"3206",141,"Port Phillip City Council",-37.8424,144.9562,"Southern Metropolitan",3280,1562500
"114","Albert Park","3","h","86 Mills St","VB","RT",2016-04-16,3.3,"3206",211,"Port Phillip City Council",-37.847,144.9575,"Southern Metropolitan",3280,2e+06
"115","Albert Park","4","h","28 Dinsdale St","S","Marshall",2016-09-17,3.3,"3206",236,"Port Phillip City Council",-37.8454,144.9521,"Southern Metropolitan",3280,2950000
"116","Albert Park","3","h","90 Danks St","S","Marshall",2017-03-18,3.3,"3206",300,"Port Phillip City Council",-37.8457,144.9479,"Southern Metropolitan",3280,2120000
"117","Albert Park","3","h","129 Kerferd Rd","S","Greg",2017-03-18,3.3,"3206",209,"Port Phillip City Council",-37.8468,144.9546,"Southern Metropolitan",3280,1900000
"118","Albert Park","3","h","97 Page St","S","Greg",2017-03-18,3.3,"3206",147,"Port Phillip City Council",-37.8473,144.9551,"Southern Metropolitan",3280,3010000
"119","Albert Park","3","h","36 Ashworth St","SP","Marshall",2016-06-18,3.3,"3206",173,"Port Phillip City Council",-37.8482,144.9513,"Southern Metropolitan",3280,1600000
"120","Albert Park","4","h","55 Withers St","VB","Cayzer",2016-06-18,3.3,"3206",327,"Port Phillip City Council",-37.8467,144.9475,"Southern Metropolitan",3280,2800000
"121","Albert Park","3","h","18 Herbert St","SN","Cayzer",2016-11-19,3.3,"3206",169,"Port Phillip City Council",-37.8448,144.9578,"Southern Metropolitan",3280,1600000
"122","Albert Park","2","u","10/140 Kerferd Rd","S","Greg",2016-05-22,3.3,"3206",0,"Port Phillip City Council",-37.846,144.9542,"Southern Metropolitan",3280,647000
"123","Albert Park","3","h","9 Merton Pl","SP","Marshall",2016-05-22,3.3,"3206",122,"Port Phillip City Council",-37.845,144.9545,"Southern Metropolitan",3280,2340000
"124","Albert Park","3","h","55 Merton St","SP","Marshall",2016-04-23,3.3,"3206",120,"Port Phillip City Council",-37.8427,144.9546,"Southern Metropolitan",3280,2100000
"125","Albert Park","3","h","16 Dinsdale St","S","Greg",2016-09-24,3.3,"3206",241,"Port Phillip City Council",-37.8452,144.9518,"Southern Metropolitan",3280,2340000
"126","Albert Park","3","h","49 Page St","PI","Marshall",2016-09-24,3.3,"3206",238,"Port Phillip City Council",-37.8461,144.9528,"Southern Metropolitan",3280,2e+06
"127","Albert Park","1","u","13/52 Moubray St","S","Marshall",2017-02-25,3.3,"3206",0,"Port Phillip City Council",-37.8421,144.9517,"Southern Metropolitan",3280,442500
"128","Albert Park","4","h","115 Page St","S","Marshall",2017-02-25,3.3,"3206",330,"Port Phillip City Council",-37.8477,144.9558,"Southern Metropolitan",3280,4735000
"129","Albert Park","2","h","32 Page St","S","Greg",2017-02-25,3.3,"3206",136,"Port Phillip City Council",-37.846,144.9517,"Southern Metropolitan",3280,1340000
"130","Albert Park","3","h","34 Richardson St","S","hockingstuart",2017-02-25,3.3,"3206",202,"Port Phillip City Council",-37.8429,144.9493,"Southern Metropolitan",3280,1801000
"131","Albert Park","3","h","2b Dundas Pl","S","Chisholm",2016-07-26,3.3,"3206",0,"Port Phillip City Council",-37.8415,144.9585,"Southern Metropolitan",3280,1532000
"132","Albert Park","3","h","22 Greig St","S","Greg",2016-07-26,3.3,"3206",325,"Port Phillip City Council",-37.8413,144.95,"Southern Metropolitan",3280,3755000
"133","Albert Park","4","h","27 Barrett St","S","Greg",2016-06-27,3.3,"3206",183,"Port Phillip City Council",-37.8434,144.9495,"Southern Metropolitan",3280,2140000
"134","Albert Park","2","h","44 Greig St","S","Marshall",2016-11-27,3.3,"3206",162,"Port Phillip City Council",-37.8416,144.9488,"Southern Metropolitan",3280,1750000
"135","Albert Park","2","h","6 Brooke St","S","Greg",2016-05-28,3.3,"3206",79,"Port Phillip City Council",-37.8387,144.9519,"Southern Metropolitan",3280,980000
"136","Albert Park","2","h","7 Herbert Pl","SP","Marshall",2016-05-28,3.3,"3206",99,"Port Phillip City Council",-37.8438,144.9588,"Southern Metropolitan",3280,1330000
"137","Albert Park","3","h","5 Reed St","SN","Greg",2016-05-28,3.3,"3206",141,"Port Phillip City Council",-37.8446,144.945,"Southern Metropolitan",3280,2340000
"138","Albert Park","3","h","227a Danks St","S","hockingstuart",2016-08-28,3.3,"3206",152,"Port Phillip City Council",-37.8488,144.9551,"Southern Metropolitan",3280,2030000
"139","Albert Park","3","h","17 Reed St","PI","Marshall",2016-08-28,3.3,"3206",147,"Port Phillip City Council",-37.8448,144.9453,"Southern Metropolitan",3280,1740000
"140","Albert Park","3","h","74 Bridport St","VB","Buxton",2016-07-30,3.3,"3206",0,"Port Phillip City Council",-37.8399,144.9577,"Southern Metropolitan",3280,2800000
"141","Albert Park","1","h","9 Durham St","S","Marshall",2016-07-30,3.3,"3206",81,"Port Phillip City Council",-37.8411,144.9497,"Southern Metropolitan",3280,985000
"142","Alphington","3","h","30 Austin St","SN","McGrath",2016-09-03,6.4,"3078",174,"Darebin City Council",-37.7818,145.0198,"Northern Metropolitan",2211,1362500
"143","Alphington","4","h","6 Smith St","S","Brace",2016-09-03,6.4,"3078",853,"Darebin City Council",-37.7707,145.0318,"Northern Metropolitan",2211,2e+06
"144","Alphington","3","h","5/6 Yarralea St","S","Jellis",2016-09-03,6.4,"3078",208,"Darebin City Council",-37.7854,145.0325,"Northern Metropolitan",2211,1110000
"145","Alphington","3","h","136A Fulham Rd","S","Jellis",2017-03-04,6.4,"3078",411,"Darebin City Council",-37.7713,145.0279,"Northern Metropolitan",2211,1492000
"146","Alphington","4","h","44 Shiers St","S","Collins",2016-10-08,6.4,"3078",599,"Darebin City Council",-37.7717,145.031,"Northern Metropolitan",2211,1717500
"147","Alphington","5","h","83 Fulham Rd","S","Nelson",2016-06-12,6.4,"3078",809,"Darebin City Council",-37.775,145.0268,"Northern Metropolitan",2211,2840000
"148","Alphington","2","u","3/19 Harker St","S","Miles",2016-11-12,6.4,"3078",88,"Darebin City Council",-37.7791,145.0306,"Northern Metropolitan",2211,525500
"149","Alphington","2","t","4/2 Miller St","S","Miles",2016-11-12,6.4,"3078",155,"Darebin City Council",-37.7804,145.0308,"Northern Metropolitan",2211,805000
"150","Alphington","2","u","2/5 Yarana Rd","S","McGrath",2016-11-12,6.4,"3078",0,"Darebin City Council",-37.7773,145.0314,"Northern Metropolitan",2211,465000
"151","Alphington","3","h","815 Heidelberg Rd","PI","hockingstuart",2016-10-15,6.4,"3078",686,"Darebin City Council",-37.78,145.0341,"Northern Metropolitan",2211,2e+06
"152","Alphington","3","h","44 Naroon Rd","S","Nelson",2016-04-16,6.4,"3078",592,"Darebin City Council",-37.7755,145.0288,"Northern Metropolitan",2211,1540000
"153","Alphington","2","u","3/98 Grange Rd","S","Nelson",2017-03-18,6.4,"3078",183,"Darebin City Council",-37.7747,145.0264,"Northern Metropolitan",2211,820000
"154","Alphington","4","h","10 Bennett St","S","Nelson",2016-11-19,6.4,"3078",606,"Darebin City Council",-37.7743,145.0316,"Northern Metropolitan",2211,1830000
"155","Alphington","4","h","38 Bennett St","S","Nelson",2016-11-19,6.4,"3078",575,"Darebin City Council",-37.7723,145.0319,"Northern Metropolitan",2211,2100000
"156","Alphington","3","h","2c Hamilton St","SP","hockingstuart",2016-05-22,6.4,"3078",180,"Darebin City Council",-37.7802,145.0243,"Northern Metropolitan",2211,865000
"157","Alphington","2","u","5/5 Yarana Rd","VB","Nelson",2016-05-22,6.4,"3078",0,"Darebin City Council",-37.7773,145.0314,"Northern Metropolitan",2211,390000
"158","Alphington","2","t","7/7 Chandler Hwy","SP","Brace",2016-09-24,6.4,"3078",0,"Darebin City Council",-37.7848,145.025,"Northern Metropolitan",2211,650000
"159","Alphington","2","u","1/14 Fulham Rd","S","Love",2017-02-25,6.4,"3078",0,"Darebin City Council",-37.7805,145.0262,"Northern Metropolitan",2211,512000
"160","Alphington","4","h","29 Naroon Rd","SP","Jellis",2017-02-25,6.4,"3078",597,"Darebin City Council",-37.7765,145.0283,"Northern Metropolitan",2211,2037500
"161","Alphington","3","h","22 Lowther St","S","Barry",2016-06-27,6.4,"3078",979,"Darebin City Council",-37.7792,145.029,"Northern Metropolitan",2211,1165000
"162","Alphington","4","h","11 Margaret Gr","SP","McGrath",2016-11-27,6.4,"3078",556,"Darebin City Council",-37.7844,145.0225,"Northern Metropolitan",2211,1900000
"163","Alphington","3","h","6 Naroon Rd","SP","McGrath",2016-08-28,6.4,"3078",597,"Darebin City Council",-37.7781,145.0284,"Northern Metropolitan",2211,1485000
